"scenario","sample_size","weight_profile","effective_sample_size","method","repetitions","significance_level","rejection_rate"
"quadratic",500,"equal",500,"pearson",10000,0.05,0.1614
"quadratic",500,"equal",500,"spearman",10000,0.05,0.0673
"quadratic",500,"equal",500,"kendall",10000,0.05,0.082
"quadratic",500,"equal",500,"blomqvist",10000,0.05,0.0729
"quadratic",500,"equal",500,"hoeffding",10000,0.05,1
"quadratic",500,"equal",500,"chatterjee",10000,0.05,0.9812
"quadratic",500,"lognormal",269.063481550345,"pearson",10000,0.05,0.1554
"quadratic",500,"lognormal",269.063481550345,"spearman",10000,0.05,0.0605
"quadratic",500,"lognormal",269.063481550345,"kendall",10000,0.05,0.0776
"quadratic",500,"lognormal",269.063481550345,"blomqvist",10000,0.05,0.0625
"quadratic",500,"lognormal",269.063481550345,"hoeffding",10000,0.05,0.9832
"quadratic",500,"lognormal",269.063481550345,"chatterjee",10000,0.05,0.8553
